Formula,Miller Indices,dECO,MPID
Mn3GaN,[1 0 0],-0.85,mp-627439
N4,[1 1 0],-0.84,mp-999498
NIn,[1 0 0],-0.76,mp-20411
N2V2,[1 1 1],-0.74,mp-1017532
N2V2,[2 1 0],-0.77,mp-1017532
Ni4Al12,[0 0 1],-0.64,mp-622209
NiAl,[1 0 0],-0.69,mp-1487
NiFeAl2,[1 0 0],-0.73,mp-867330
NiGa,[1 1 1],-0.75,mp-1941
Ni4Si4,[0 1 0],-0.7,mp-351
NiZnCu2,[1 0 0],-0.68,mp-30593
NiZnCu2,[1 1 0],-0.87,mp-30593
OsAl,[1 0 0],-0.73,mp-875
Pd4Cu16,[0 0 1],-0.71,mp-30594
Pd4Cu16,[2 1 0],-0.82,mp-30594
PdCu,[1 0 0],-0.66,mp-1018029
PdCu3,[1 0 0],-0.66,mp-580357
PdCu3,[1 1 0],-0.76,mp-580357
PdCu3,[1 1 1],-0.82,mp-580357
PdCu3,[2 2 1],-0.84,mp-580357
Pd2CuIn,[1 0 0],-0.79,mp-867308
PtCu,[0 0 1],-0.72,mp-644311
PtCu3,[1 0 0],-0.69,mp-12086
PtCu3,[1 1 0],-0.79,mp-12086
PtCu3,[2 2 1],-0.76,mp-12086
PtIn2,[2 1 0],-0.74,mp-22682
Re2Al12,[0 0 1],-0.66,mp-16528
Re2Al12,[1 1 0],-0.7,mp-16528
ReAl12,[1 0 0],-0.8,mp-1648
RuCoGa2,[1 0 0],-0.69,mp-865779
RuIrGa2,[1 0 0],-0.65,mp-866041
Sb2Al2,[1 0 2],-0.82,mp-1018100
SbAl,[1 1 1],-0.82,mp-2624
SbAl,[2 1 1],-0.8,mp-2624
SbCuNi2,[1 0 0],-0.66,mp-30069
Sb2Ga2,[2 0 1],-0.76,mp-1018059
SbGa,[1 1 1],-0.57,mp-1156
Sb2Pd2,[1 1 1],-0.57,mp-1769
Sb2Pd2,[2 2 1],-0.58,mp-1769
Sb8Pd4,[2 1 0],-0.71,mp-1356
Sb2Pt2,[1 0 1],-0.61,mp-2845
Sb2Pt2,[1 1 0],-0.67,mp-2845
Sb2Pt2,[2 -1 2],-0.61,mp-2845
Sb2Pt2,[2 1 0],-0.68,mp-2845
Si2Cu6,[1 0 0],-0.6,mp-867317
Si2Cu6,[1 0 2],-0.73,mp-867317
Si2Cu6,[1 0 2],-0.73,mp-867317
Si2Cu6,[1 1 0],-0.78,mp-867317
Si2Cu6,[1 1 1],-0.79,mp-867317
Si2Cu6,[2 0 1],-0.83,mp-867317
Si2Cu6,[2 1 1],-0.71,mp-867317
SiCu3,[0 0 1],-0.65,mp-972828
SiCu3,[1 0 0],-0.69,mp-972828
SiCu3,[2 0 1],-0.82,mp-972828
SiCu3,[2 1 0],-0.77,mp-972828
SiCu3,[2 1 1],-0.81,mp-972828
SiCu3,[2 1 1],-0.79,mp-972828
Si16Fe8,[0 1 0],-0.86,mp-1714
Si4Pd4,[0 1 1],-0.83,mp-389
Si4Pd4,[1 0 0],-0.63,mp-389
Si4Pt4,[1 0 1],-0.8,mp-696
Si4Pt4,[1 2 0],-0.67,mp-696
Si4Rh4,[0 1 0],-0.83,mp-818
Sn10Cu12,[0 1 0],-0.64,mp-1233
Sn10Cu12,[1 0 0],-0.68,mp-1233
Sn10Cu12,[1 1 -2],-0.7,mp-1233
Sn16Cu20,[0 0 1],-0.65,mp-845
Sn16Cu20,[1 0 0],-0.63,mp-845
Sn16Cu20,[1 0 0],-0.61,mp-845
Sn2Cu2,[2 1 1],-0.61,mp-10598
Sn12Pd4,[1 1 2],-0.76,mp-1371
Sn12Pd4,[1 2 1],-0.77,mp-1371
Sn12Pd4,[2 0 1],-0.74,mp-1371
Sn16Pd8,[1 1 0],-0.66,mp-1573
Sn4Pd4,[1 0 0],-0.58,mp-2369
Sn2Pt,[1 1 0],-0.69,mp-19962
Sn2Pt2,[1 0 1],-0.75,mp-19856
Sn2Pt2,[2 -1 2],-0.74,mp-19856
Sn2Pt2,[2 1 0],-0.85,mp-19856
Zn4Au2Cu2,[0 1 2],-0.62,mp-12759
Zn4Au2Cu2,[1 1 1],-0.68,mp-12759
Zn4Au2Cu2,[1 2 1],-0.63,mp-12759
Zn4Au2Cu2,[1 2 2],-0.79,mp-12759
ZnAu2Cu,[1 0 0],-0.78,mp-864623
ZnAu2Cu,[2 1 0],-0.72,mp-864623
Zn16Cu10,[1 1 0],-0.82,mp-1368
ZnCu,[1 0 0],-0.61,mp-987
ZnCu,[2 1 0],-0.79,mp-987
Zn2Pd2,[2 0 1],-0.58,mp-1652
